id,name,surname,login,password,birthday,gender,contacts
1,Ivan,Ivanov,email::ivanov@nexwave.com.ua,123456,1989-10-01,male,"{""phone"":""+380501234567"",""address"":""Kyiv""}"
2,Petro,Petrov,email::petro@nexwave.com.ua,123456,1999-12-31,male,"{""phone"":""+380501234567"",""address"":""Kyiv""}"
3,John,Smith,email::john_smith@nextwave.com.ua,123456,2000-01-01,male,"{""phone"":""+380501234567"",""address"":""Kyiv""}"
4,Anna,Karenina,email::anna_karenina@nexwave.com.ua,123456,2004-12-12,female,"{""phone"":""+380501234567"",""address"":""Kyiv""}"
5,Olga,Olga,email::olga@nexwave.com.ua,123456,1999-01-01,female,"{""phone"":""+380501234567"",""address"":""Kyiv""}"
6,John,Senna,email::j.sena@nexwave.com.ua,123456,1995-11-30,male,"{""phone"":""+380501234567"",""address"":""Kyiv""}"
7,Michael,Schumacher,email::schuma@nexwave.com.ua,123456,1996-10-05,male,"{""phone"":""+380501234567"",""address"":""Kyiv""}"
8,Michael,Jackson,email::jack@nexwave.com.ua,123456,1992-01-01,male,"{""phone"":""+380501234567"",""address"":""Kyiv""}"
9,Michael,Johnson,email::jonny@nexwave.com.ua,123456,1992-01-01,male,"{""phone"":""+380501234567"",""address"":""Kyiv""}"
10,Michael,Eddison,email::eddison@nexwave.com.ua,123456,1992-01-01,male,"{""phone"":""+380501234567"",""address"":""Kyiv""}"
